currency_id,currency_name,currency_code,date,buying,selling
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-16,7.5784,7.6542
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-16,0.3703,0.374
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-17,0.3109,0.3202
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-17,7.8203,7.8985
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-17,5.0657,5.1163
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-17,0.6649,0.6716
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-17,61.3869,62.0008
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-17,67.4126,68.0867
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-17,55.3833,55.9371
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-17,5.0564,5.107
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-17,0.3702,0.3813
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-17,178.8604,180.649
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-17,40.6364,41.0427
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-17,35.0299,35.3802
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-17,14.7645,14.9122
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-17,15.0781,15.2289
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-17,58.3242,58.9074
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-17,72.5466,73.2721
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-17,2.9464,2.9759
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-17,7.5736,7.6493
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-17,0.3704,0.3741
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-18,0.3102,0.3196
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-18,7.8273,7.9055
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-18,5.0403,5.0907
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-18,0.6653,0.672
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-18,61.3516,61.9652
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-18,67.2433,67.9157
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-18,55.3944,55.9483
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-18,5.0581,5.1086
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-18,0.37,0.3811
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-18,0.3699,0.3736
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-18,40.4545,40.8591
